school_code,year,Grade 6 P+A #,Grade 6 P+A %,Grade 6 A #,Grade 6 A %,Grade 6 P #,Grade 6 P %,Grade 6 NI #,Grade 6 NI %,Grade 6 W/F #,Grade 6 W/F %,Grade 6 No. of Students Included,Grade 6 CPI,Grade 6 Median SGP,Grade 6 Included In Median SGP,Grade 7 P+A #,Grade 7 P+A %,Grade 7 A #,Grade 7 A %,Grade 7 P #,Grade 7 P %,Grade 7 NI #,Grade 7 NI %,Grade 7 W/F #,Grade 7 W/F %,Grade 7 No. of Students Included,Grade 7 CPI,Grade 7 Median SGP,Grade 7 Included In Median SGP,Grade 8 P+A #,Grade 8 P+A %,Grade 8 A #,Grade 8 A %,Grade 8 P #,Grade 8 P %,Grade 8 NI #,Grade 8 NI %,Grade 8 W/F #,Grade 8 W/F %,Grade 8 No. of Students Included,Grade 8 CPI,Grade 8 Median SGP,Grade 8 Included In Median SGP,Grade 6 P+A #_is_nan,Grade 6 Median SGP_is_nan,Grade 6 Included In Median SGP_is_nan,Grade 7 P+A #_is_nan,Grade 7 Median SGP_is_nan,Grade 7 Included In Median SGP_is_nan,Grade 8 P+A #_is_nan,Grade 8 Median SGP_is_nan,Grade 8 Included In Median SGP_is_nan
00350445,2007.0,60.0,28.0,17.0,8.0,43.0,20.0,71.0,33.0,81.0,38.0,212.0,57.1,,,30.0,16.0,0.0,0.0,30.0,16.0,65.0,34.0,98.0,51.0,193.0,46.1,,,37.0,17.0,2.0,1.0,35.0,16.0,69.0,31.0,117.0,52.0,223.0,45.9,,,0,1,1,0,1,1,0,1,1
00350470,2007.0,52.0,36.0,10.0,7.0,42.0,29.0,45.0,31.0,48.0,33.0,145.0,61.7,,,35.0,23.0,6.0,4.0,29.0,19.0,58.0,38.0,61.0,40.0,154.0,54.5,,,41.0,24.0,11.0,6.0,30.0,18.0,66.0,39.0,64.0,37.0,171.0,56.4,,,0,1,1,0,1,1,0,1,1
00350485,2007.0,62.0,28.0,15.0,7.0,47.0,21.0,73.0,32.0,91.0,40.0,226.0,55.8,,,23.0,13.0,2.0,1.0,21.0,12.0,71.0,39.0,86.0,48.0,180.0,46.5,,,37.0,19.0,2.0,1.0,35.0,18.0,78.0,40.0,79.0,41.0,194.0,52.7,,,0,1,1,0,1,1,0,1,1
00350545,2007.0,,,,,,,,,,,,,,,197.0,60.0,37.0,11.0,160.0,49.0,110.0,34.0,19.0,6.0,326.0,83.2,,,189.0,57.0,51.0,15.0,138.0,42.0,123.0,37.0,18.0,5.0,330.0,82.8,,,1,1,1,0,1,1,0,1,1
00350560,2007.0,,,,,,,,,,,,,,,361.0,90.0,156.0,39.0,205.0,51.0,41.0,10.0,3.0,1.0,405.0,96.3,,,352.0,90.0,177.0,45.0,175.0,45.0,39.0,10.0,0.0,0.0,391.0,97.0,,,1,1,1,0,1,1,0,1,1
00350565,2007.0,82.0,63.0,43.0,33.0,39.0,30.0,32.0,24.0,18.0,14.0,132.0,80.1,,,11.0,15.0,2.0,3.0,9.0,12.0,40.0,51.0,27.0,35.0,78.0,52.6,,,12.0,19.0,0.0,0.0,12.0,19.0,27.0,43.0,24.0,38.0,63.0,53.2,,,0,1,1,0,1,1,0,1,1
00350575,2007.0,,,,,,,,,,,,,,,88.0,54.0,9.0,6.0,79.0,48.0,61.0,37.0,14.0,9.0,163.0,80.7,,,65.0,65.0,13.0,13.0,52.0,52.0,32.0,32.0,3.0,3.0,100.0,87.3,,,1,1,1,0,1,1,0,1,1
00350656,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350657,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350691,2007.0,16.0,44.0,3.0,8.0,13.0,36.0,18.0,50.0,2.0,6.0,36.0,77.8,,,7.0,27.0,0.0,0.0,7.0,27.0,18.0,69.0,1.0,4.0,26.0,72.1,,,18.0,64.0,2.0,7.0,16.0,57.0,10.0,36.0,0.0,0.0,28.0,84.8,,,0,1,1,0,1,1,0,1,1
00350750,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,14.0,82.0,17.0,75.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,8.0,73.0,11.0,86.4,,,1.0,7.0,0.0,0.0,1.0,7.0,3.0,20.0,11.0,73.0,15.0,80.0,,,0,1,1,0,1,1,0,1,1
00360325,2007.0,101.0,52.0,29.0,15.0,72.0,37.0,65.0,34.0,27.0,14.0,193.0,77.2,,,97.0,58.0,33.0,20.0,64.0,38.0,53.0,32.0,18.0,11.0,168.0,79.2,,,101.0,54.0,41.0,22.0,60.0,32.0,62.0,33.0,24.0,13.0,187.0,80.2,,,0,1,1,0,1,1,0,1,1
00370005,2007.0,76.0,86.0,39.0,44.0,37.0,42.0,6.0,7.0,7.0,8.0,89.0,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00380013,2007.0,97.0,83.0,50.0,43.0,47.0,40.0,20.0,17.0,0.0,0.0,117.0,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00390005,2007.0,30.0,51.0,10.0,17.0,20.0,34.0,15.0,25.0,14.0,24.0,59.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00400305,2007.0,150.0,69.0,70.0,32.0,80.0,37.0,48.0,22.0,19.0,9.0,217.0,87.0,,,132.0,57.0,47.0,20.0,85.0,37.0,67.0,29.0,31.0,13.0,230.0,80.2,,,126.0,58.0,45.0,21.0,81.0,37.0,68.0,31.0,23.0,11.0,217.0,82.1,,,0,1,1,0,1,1,0,1,1
